PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 08 15 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,20 10 59.06,-56 56 50.2 #Field centre
UTTIME,12 01 38.00 #Target observing time
UTDATE,2022 08 25 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,3430,113.91485983390896,124.95947865588602,169.146660232255,-0.170041926329084,3.9726716949265,2.140471685924,303.640069298451,-57.4758069049045,0.0,16.1250419616699,0.0,0.0,0.0,0.0,0.0,0.0,10.52337886603,2.14200210571289,0.0549732521176338,19.105420651585,0.0,0.0,8,202041.350896381,-119445.073550795,1,114018.23,124941.73,-99,P,rectangular_magnet,R01,1,I,1.0,N,-80.257315281069,2.140471685924,circular_magnet,Yel,1,TL,0.10488282044,0.0
2,5219,-0.4175229000628612,-65.6977015871739,65.73167768348,-0.741025086127461,1.56499087412754,3.97716934692458,302.745484060532,-56.6651408318769,0.0,15.5660610198975,0.0,0.0,0.0,0.0,0.0,0.0,10.7398573274262,4.06651210784912,0.0600231971924598,20.0433194801511,0.0,0.0,8,-134.912873322946,63765.4589534602,1,-381.6,-65730.57,-99,P,rectangular_magnet,R02,1,I,2.0,R,-47.54239005157814,3.97716934692458,circular_magnet,Blu,1,TR,0.04869073126,0.0
3,174,173.99464624247886,-19.137998478627768,175.05515332989,1.24495136223171,3.03233106837049,4.4958056010408,304.094569077638,-56.8626197586214,0.0,15.3773918151855,0.0,0.0,0.0,0.0,0.0,0.0,10.8345850849282,3.112065076828,0.0545016850668156,19.2064824803089,0.0,0.0,8,304758.300992622,19135.2215091916,1,174011.28,-19088.77,-99,P,rectangular_magnet,R03,1,I,3.0,T,-161.33045875493954,4.4958056010408,circular_magnet,Yel,1,TR,0.0519627269999999,0.0
4,1983,25.13386450140667,-93.95138168957284,97.2042585300973,1.38270821671572,1.83244795884536,5.83344556504995,302.944842871084,-56.5454052734109,0.0,18.310754776001,0.0,0.0,0.0,0.0,0.0,0.0,9.19178621595716,1.81684803962708,0.0446958467364311,20.971377266028,0.0,0.0,8,44920.1783116183,90825.6951667756,1,25144.44,-93895.82,-99,P,rectangular_magnet,R04,1,I,4.0,J,-169.22334511587115,5.83344556504995,circular_magnet,Gre,1,TR,0.05655919482,0.0
5,2820,-177.62595679576336,-104.45897401311493,206.084396688283,-1.4877729058702,0.531810220461567,4.26360218084782,301.395033474196,-56.4964891796444,0.0,16.2441673278809,0.0,0.0,0.0,0.0,0.0,0.0,10.4302775318865,1.66532397270203,0.053448349237442,18.6422975960323,0.0,0.0,8,-305336.745385136,101880.732357985,1,-177622.19,-104504.24,-99,P,rectangular_magnet,R05,1,I,5.0,M,-4.756891619723206,4.26360218084782,circular_magnet,Mag,1,TR,0.0454224428999999,0.0
6,4639,52.67339840496237,59.14972373724381,79.2195038865285,-0.218899919660529,3.98447726835914,2.07980811915991,303.160878238688,-57.2011230600711,0.0,15.5217924118042,0.0,0.0,0.0,0.0,0.0,0.0,10.8227078279003,3.12822198867798,0.058374094329132,19.2851345603772,0.0,0.0,8,93744.171390079,-57366.524618429,1,52705.69,59142.54,-99,P,rectangular_magnet,R06,1,I,6.0,S,-77.45795846769892,2.07980811915991,circular_magnet,Blu,1,TL,0.0330810095199999,0.0
7,5188,-82.53439908642164,-67.06048538671679,106.345828858618,-1.00960717619179,0.682470976420122,4.59110715456767,302.106042300531,-56.6569829856637,0.0,15.7725486755371,0.0,0.0,0.0,0.0,0.0,0.0,10.6631291631378,2.01503109931946,0.0513845942914485,18.5328972634698,0.0,0.0,8,-144648.750633505,65609.1321976341,1,-82526.13,-67073.64,-99,P,rectangular_magnet,R07,1,I,7.0,P,-32.153769838089545,4.59110715456767,circular_magnet,Gre,1,TR,0.0155377488999999,0.0
8,2354,59.66076444847546,-98.03153101873444,114.741204817359,1.3067456736111,2.11766782179552,5.47226315899517,303.212026422232,-56.5286696902472,0.0,17.630069732666,0.0,0.0,0.0,0.0,0.0,0.0,9.72442091606315,4.56616687774658,0.0545891318470239,22.4787534671351,0.0,0.0,8,105303.660870972,94607.936961756,1,59667.44,-98006.84,-99,P,rectangular_magnet,R08,1,I,8.0,I,-164.8710119948958,5.47226315899517,circular_magnet,Gre,1,TR,0.0255775173599999,0.0
9,118,-15.003366164248892,-137.04900492916903,137.765682591406,1.73789357787163,1.46154602393043,0.276347553941199,302.635419196542,-56.3633549701277,0.0,15.6219329833984,0.0,0.0,0.0,0.0,0.0,0.0,10.8356514306141,2.17996001243591,0.0547703040513354,18.4304099818241,0.0,0.0,8,-25009.5721349162,131969.06370878,1,-15021.02,-136944.34,-99,P,rectangular_magnet,R09,1,I,9.0,E,170.42603274506533,0.276347553941199,circular_magnet,Gre,1,TR,0.1061433243999999,0.0
10,5262,133.0627593216937,53.97705580381447,143.621475549183,1.39542020584733,3.52726635287843,4.15133916014849,303.788609019895,-57.175486044213,0.0,15.2267074584961,0.0,0.0,0.0,0.0,0.0,0.0,10.9534985532158,3.21420907974243,0.0569270763383361,19.0402949746548,0.0,0.0,8,235611.327942731,-51572.5590345124,1,133071.79,54028.02,-99,P,rectangular_magnet,R10,1,I,10.0,F,-169.95168844232856,4.15133916014849,circular_magnet,Gre,1,TR,0.05175811476,0.0
