PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 08 22 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,01 11 36.52,-33 32 07.0 #Field centre
UTTIME,16 52 57.00 #Target observing time
UTDATE,2022 08 27 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,15670330800030,-183.64812084425185,35.267569045990804,186.984775668866,-1.41670479550487,-0.18944421768089,5.05592472935561,16.9697556236107,-33.6803045104513,0.0,18.2899438271341,0.0,0.0,0.0,0.0,0.0,0.0,7.59821102227924,1.81240571042866,0.0091,20.8240956181723,0.0,0.0,8,-210723.400781885,-32775.9372261823,1,-183639.44,35211.68,-99,P,rectangular_magnet,R01,1,I,1.0,J,-8.828794401626624,5.05592472935561,circular_magnet,Yel,1,TR,0.05655919482,0.0
2,18671095502217,137.58351131598627,-8.284312617642023,137.813101230149,4.26539343556673,3.08110310142918,1.18429033413755,18.6048341404015,-33.4979913846749,0.0,17.6912359859874,0.0,0.0,0.0,0.0,0.0,0.0,9.07378798953886,2.36649559911322,0.0392,20.8046391735374,0.0,0.0,8,158804.344012836,8426.82919928487,1,137561.05,-8331.17,-99,P,rectangular_magnet,R02,1,I,2.0,T,25.61095817921995,1.18429033413755,circular_magnet,Gre,1,TL,0.0519627269999999,0.0
3,18671217103161,113.6090272859899,-26.973034066761286,116.771478250918,1.0521073793064,2.90861643111219,4.42667625537379,18.4837914341848,-33.4188860037915,0.0,17.4636753240719,0.0,0.0,0.0,0.0,0.0,0.0,8.65539492406237,2.09600581668923,0.0229,20.3135124234929,0.0,0.0,8,131448.692407861,26304.6452789328,1,113616.73,-26959.54,-99,P,rectangular_magnet,R03,1,I,3.0,P,-150.28131242882637,4.42667625537379,circular_magnet,Gre,1,TR,0.0155377488999999,0.0
4,18671001608123,158.7576808377343,-125.1053562346343,202.161798234112,0.566132835698711,2.47468458993246,4.37463355294583,18.7003502352308,-33.0061004685812,0.0,18.3440675713815,0.0,0.0,0.0,0.0,0.0,0.0,8.38780067816384,2.27385254524023,0.025537668,21.3707537438269,0.0,0.0,8,180390.981444258,119594.17623646,1,158846.2,-125049.1,-99,P,rectangular_magnet,R04,1,I,4.0,N,-122.4370221293094,4.37463355294583,circular_magnet,Mag,1,RO,0.10488282044,0.0
5,17660247408990,107.74611691771196,93.78463268746256,142.867029586146,0.428826733663803,3.85792518133057,2.85408685951282,18.4546321861812,-33.933373382963,0.0,19.6215507366238,0.0,0.0,0.0,0.0,0.0,0.0,8.46642011933026,1.7123171824688,0.0298,22.032346491785,0.0,0.0,8,124858.702359048,-89969.5024138259,1,107753.02,93809.78,-99,P,rectangular_magnet,R05,1,I,5.0,O,-114.56996198131654,2.85408685951282,circular_magnet,Gre,1,TR,0.0167343919199998,0.02
6,16660052808769,-87.95253170381379,97.73093033498048,131.436462612384,-0.372490762263631,-0.838177509937054,0.465686747673423,17.4502113151344,-33.9509160754144,0.0,18.4368401887428,0.0,0.0,0.0,0.0,0.0,0.0,8.7478627705111,1.63028354400713,0.041118447,20.7410305946098,0.0,0.0,8,-102140.414497529,-93934.1509078423,1,-87907.18,97713.21,-99,P,rectangular_magnet,R06,1,I,6.0,R,-68.65785141468302,0.465686747673423,circular_magnet,Gre,1,TR,0.04869073126,0.0
7,18670800203048,197.5821202933464,-24.14505643999453,199.066278909035,-1.55723211245716,3.01946458301854,1.70648861170389,18.899999624514,-33.4293312489971,0.0,17.3391891210149,0.0,0.0,0.0,0.0,0.0,0.0,9.09926943797912,1.70654345687157,0.03496085,19.7426505627448,0.0,0.0,8,225511.74342226,23944.0198624667,1,197583.56,-24251.19,-99,P,rectangular_magnet,R07,1,I,7.0,E,-0.7771722339631424,1.70648861170389,circular_magnet,Mag,1,TL,0.1061433243999999,0.0
8,18670922107761,174.8693200114458,-117.95206610470208,210.943534217411,4.62234417800627,2.54806969838174,2.07427447962453,18.779272662279,-33.0364307105503,0.0,16.614691548923,0.0,0.0,0.0,0.0,0.0,0.0,8.64674281628619,2.76348004774155,0.021791412,20.0648478973261,0.0,0.0,8,198227.44995715,112739.541551444,1,174867.02,-117977.54,-99,P,rectangular_magnet,R08,1,I,8.0,I,5.159187143373003,2.07427447962453,circular_magnet,Mag,1,RO,0.0255775173599999,0.0
9,17670566302979,6.070307564833875,-23.33439997725772,24.0372480519921,1.54085294601954,1.8261972315737,5.99784102162543,17.9335588411527,-33.4350496019608,0.0,16.6399075975821,0.0,0.0,0.0,0.0,0.0,0.0,9.78202868038218,2.64249814877486,0.058420416,19.9928557379713,0.0,0.0,8,7096.12638260669,22651.6720926711,1,6072.61,-23257.53,-99,P,rectangular_magnet,R09,1,I,9.0,G,-178.28437065721891,5.99784102162543,circular_magnet,Blu,1,TR,0.0769044511799999,0.0
10,17661157409112,-70.12520306513454,90.94964196867508,114.851757049317,3.65002343719196,-0.913578097380157,4.56360153457212,17.5407025018613,-33.9231896962522,0.0,18.2590155812048,0.0,0.0,0.0,0.0,0.0,0.0,8.25273694499651,1.76433831593279,0.021434829,20.7347995916779,0.0,0.0,8,-81689.4062972494,-87667.9892171859,1,-70164.88,90927.53,-99,P,rectangular_magnet,R10,1,I,10.0,M,60.869061925066575,4.56360153457212,circular_magnet,Gre,1,TR,0.0454224428999999,0.0
11,17670509508388,17.088119251204667,-129.19778732461629,130.291411328303,1.39607027126125,1.70237286155238,5.97688271688845,17.9893027622152,-32.9842323477516,0.0,16.6571695373058,0.0,0.0,0.0,0.0,0.0,0.0,8.89619047184651,2.40753647944292,0.021361444,19.8079086008293,0.0,0.0,8,19694.2525427318,124536.37154395,1,17093.87,-129165.21,-99,P,rectangular_magnet,R11,1,I,11.0,S,-169.9889344469536,5.97688271688845,circular_magnet,Gre,1,TR,0.0330810095199999,0.0
12,17661322710564,-102.4901281860648,62.65522363835064,120.067255795719,-0.529653056306617,-0.548717377175947,0.0190643208693303,17.3756009094878,-33.8014714544983,0.0,17.6235335329261,0.0,0.0,0.0,0.0,0.0,0.0,8.06256416166518,1.75372731057573,0.012398577,20.0862185408863,0.0,0.0,8,-119002.36617366,-60159.6665808037,1,-102440.69,62626.28,-99,P,rectangular_magnet,R12,1,I,12.0,K,-59.6531152674259,0.0190643208693303,circular_magnet,Gre,1,TR,0.0572875941399999,0.0
13,17670431504706,32.2792214013223,-56.85371287210276,65.400966684556,3.94622416505058,2.0859938983693,1.86023026668128,18.0677246560766,-33.2909206355791,0.0,17.2697186177769,0.0,0.0,0.0,0.0,0.0,0.0,8.93946675919903,6.83354521749505,0.033688612,22.6858236619456,0.0,0.0,8,37417.6005554081,55224.8184949354,1,32223.5,-56911.62,-99,P,rectangular_magnet,R13,1,I,13.0,A,43.89801033006458,1.86023026668128,circular_magnet,Blu,1,TL,0.0803623669799998,0.0
14,17670762901598,-31.998532970754752,3.522755829758556,32.1347963594932,-0.426020090508783,-0.109068212976712,5.96623342964751,17.737157138223,-33.5501831943846,0.0,15.2551889647059,0.0,0.0,0.0,0.0,0.0,0.0,10.0708914692599,6.79607244908815,0.04807326,20.65935364639,0.0,0.0,8,-37290.6584795051,-3368.5197951083,1,-31943.85,3497.94,-99,P,rectangular_magnet,R14,1,I,14.0,B,-65.59084682606539,5.96623342964751,circular_magnet,Blu,1,TR,0.0600504179599999,0.0
15,17660608312530,36.80934519363287,24.230510917959588,43.9870034378622,3.65101948036797,3.72389532185581,6.21030946569175,18.0918341319264,-33.6391843251517,0.0,17.8250081158732,0.0,0.0,0.0,0.0,0.0,0.0,8.14794592755017,1.69962158538822,0.014903644,20.2196439878186,0.0,0.0,8,42866.3420974633,-23482.7753484733,1,36737.88,24190.59,-99,P,rectangular_magnet,R15,1,I,15.0,L,60.81199285486838,6.21030946569175,circular_magnet,Blu,1,TR,0.0818593524999998,0.0
16,18661141108930,168.2143131240021,96.22383622555246,193.821547806471,1.06668241865028,3.66128788371771,3.68857984211215,18.7569920182518,-33.9384154603951,0.0,17.8703096239804,0.0,0.0,0.0,0.0,0.0,0.0,8.70378033022496,2.7591719093834,0.030988105,21.3170781052678,0.0,0.0,8,193192.024407004,-91109.0119134808,1,168231.4,96254.81,-99,P,rectangular_magnet,R16,1,I,16.0,Q,-151.1164006694678,3.68857984211215,circular_magnet,Yel,1,TR,0.0353742283999999,0.0
17,17660789208548,1.7004346069597012,101.83429191199674,101.831377276489,3.37308895086228,4.69635639803915,4.95991786000272,17.9104188855695,-33.9710094326412,0.0,16.5210710905839,0.0,0.0,0.0,0.0,0.0,0.0,9.21373908046142,4.9969698042329,0.029397003,21.2574793977645,0.0,0.0,8,1866.49642080336,-98475.2496411003,1,1632.55,101818.29,-99,P,rectangular_magnet,R17,1,I,17.0,C,76.73623919338061,4.95991786000272,circular_magnet,Gre,1,TR,0.0697451148799999,0.0
