tile_ID,run_ID
Commissioning_A2399_00001,2022B_2
Commissioning_A2399_00002,2022B_2
Commissioning_A2399_00003,2022B_2
Commissioning_A2399_00004,2022B_2
Commissioning_A2399_00005,2022B_2
Commissioning_H03_00001,2022B_2
Commissioning_H01_multiple_repeats_00001,2022B_3
Commissioning_H03_multiple_repeats_00001,2022B_3
Commissioning_A3667_A3716_00000,2022B_1
Commissioning_A3667_A3716_00001,2022B_1
Commissioning_A3667_A3716_00002,2022B_1
Commissioning_A3667_A3716_00004,2022B_1
Commissioning_A3667_A3716_00005,2022B_1
Commissioning_A3667_A3716_00007,2022B_1
Commissioning_A3667_A3716_00015,2022B_1
Commissioning_A3667_A3716_00030,2022B_1
Commissioning_H01_00001,2022B_1
Commissioning_H01_00007,2022B_1
Commissioning_H01_00009,2022B_1
Commissioning_SAMI_MANGA_overlap_tile_00001,2023A_2A
Commissioning_SAMI_low_mass_T001,2023_2A
G12_00000,2023A_1A
G12_00001,2023A_1B
G12_00011,2023A_1B
G12_00013,2023A_1B
G12_00018,2023A_1A
G12_00021,2023A_1B
G12_00042,2023A_1B
G15_00016,2023A_1B
G15_00025,2023A_1B
G15_00085,2023A_1A
G15_00110,2023A_1A
G15_00065,2023A_2A
G15_00046,2023A_2A
G15_00091,2023A_2B
G15_00132,2023A_2B
G15_00013,2023A_2B
G15_00031,2023A_3A
G15_00145,2023A_3A
G15_00118,2023A_3A
A3667_00001,2023A_2A
A3667_00002,2023A_2A
A3667_00003,2023A_1B
A3667_00004,2023A_2A
A3667_00005,2023A_2B
A3667_00008,2023A_2B
A3667_00009,2023A_2B
A3667_00023,2023A_3B
A3667_00028,2023A_3B
A3667_00034,2023A_3B
A3667_00050,2023B_1
A3667_00044,2023B_2A
A3667_00047,2023B_2B
A3667_00038,2023B_2B
A3667_00041,2023B_2B
A3716_00002,2023A_2B
A3716_00005,2023A_3A
A3716_00027,2023A_3A
A3716_00003,2023A_3A
A3716_00012,2023A_3B
A3716_00014,2023A_3B
A3716_00015,2023B_1
A3716_00016,2023B_1
A3716_00042,2023B_2A
A3716_00029,2023B_2A
A3716_00031,2023B_2A
A3716_00036,2023B_2A
G23_00035,2023A_3A
G23_00049,2023A_3B
G23_00053,2023A_3B
G23_00058,2023A_3B
G23_00122,2023A_3B
G23_00108,2023B_1
G23_00070,2023B_1
G23_00197,2023B_3
G23_00125,2023B_3
G23_00131,2023B_3
G23_00134,2023B_3
G23_00146,2023B_3
H01_00116,2023B_2A
H01_00152,2023B_2A
H01_00163,2023B_2A
H01_00165,2023B_2B
H01_00167,2023B_2B
H01_00191,2023B_4A
H01_00199,2023B_4A
H01_00120,2023B_4A
H01_00122,2023B_4B
H03_00152,2023B_3
H03_00082,2023B_3
H03_00093,2023B_3
H03_00095,2023B_3
H03_00153,2023B_5A
H03_00101,2023B_5A
H03_00086,2023B_5A
H03_00087,2023B_5A
H03_00090,2023B_5A
H03_00091,2023B_5B
H03_00110,2023B_5B
H03_00133,2023B_5B
H03_00097,2023B_5B
H03_00117,2023B_5B
A3376_00032,2023B_4A
A3376_00017,2023B_4A
A3376_00019,2023B_4A
A3376_00020,2023B_4A
A3376_00021,2023B_4B
A3376_00033,2023B_5A
A3376_00022,2023B_5A
A3376_00023,2023B_5A
A3391_A3395_T040,2023B_5B
A3391_A3395_T046,2023B_5B
